RESOLUTION:3120,2080
1753619475.372,521,1605
1753619475.386,521,1606
1753619475.403,521,1607
1753619475.403,521,1608
1753619475.418,519,1608
1753619475.418,519,1609
1753619475.449,519,1611
1753619475.449,518,1611
1753619475.465,518,1612
1753619475.475,518,1613
1753619475.481,517,1614
1753619475.481,517,1615
1753619475.496,517,1616
1753619475.496,517,1617
1753619475.496,517,1619
1753619475.513,516,1620
1753619475.513,516,1621
1753619475.528,515,1622
1753619475.528,515,1623
1753619475.544,514,1624
1753619475.559,514,1625
1753619475.559,514,1627
1753619475.575,513,1628
1753619475.592,513,1629
1753619475.606,513,1630
1753619475.606,511,1630
1753619475.623,511,1631
1753619475.653,511,1632
1753619475.7,511,1633
1753619475.716,510,1637
1753619475.716,509,1639
1753619475.736,509,1640
1753619475.765,509,1640
1753619475.811,509,1639
1753619475.827,509,1638
1753619475.842,509,1637
1753619475.844,509,1636
1753619475.844,509,1634
1753619475.858,509,1633
1753619475.874,509,1632
1753619475.874,509,1631
1753619475.874,509,1629
1753619475.89,509,1627
1753619475.89,509,1625
1753619475.89,509,1624
1753619475.905,509,1623
1753619475.92,509,1622
1753619475.921,509,1620
1753619475.921,509,1619
1753619475.937,509,1618
1753619475.953,509,1617
1753619475.955,509,1616
1753619475.955,509,1615
1753619475.968,509,1614
1753619475.968,509,1612
1753619475.984,509,1611
1753619475.984,510,1610
1753619476.0,510,1609
1753619476.015,510,1608
1753619476.031,510,1607
1753619476.046,510,1606
1753619476.062,510,1605
1753619476.062,510,1603
1753619476.078,512,1603
1753619476.078,512,1602
1753619476.094,513,1602
1753619476.11,513,1601
1753619476.11,513,1600
1753619476.125,513,1599
1753619476.142,514,1599
1753619476.156,515,1598
1753619476.156,515,1597
1753619476.172,516,1597
1753619476.172,516,1595
1753619476.203,516,1594
1753619476.22,517,1594
1753619476.22,517,1593
1753619476.234,518,1592
1753619476.235,520,1591
1753619476.255,520,1590
1753619476.262,521,1589
1753619476.267,522,1587
1753619476.267,522,1586
1753619476.283,523,1586
1753619476.283,523,1585
1753619476.298,524,1584
1753619476.298,525,1583
1753619476.313,525,1582
1753619476.329,526,1581
1753619476.344,526,1579
1753619476.344,527,1579
1753619476.36,529,1578
1753619476.36,529,1577
1753619476.376,529,1576
1753619476.376,530,1575
1753619476.392,530,1574
1753619476.402,531,1574
1753619476.409,531,1573
1753619476.409,532,1573
1753619476.423,532,1572
1753619476.436,532,1570
1753619476.438,533,1570
1753619476.438,533,1569
1753619476.465,533,1568
1753619476.471,534,1568
1753619476.485,534,1567
1753619476.504,535,1567
1753619476.504,535,1566
1753619476.518,535,1565
1753619476.543,535,1564
1753619476.549,537,1562
1753619476.549,537,1561
1753619476.564,538,1560
1753619476.579,538,1559
1753619476.579,539,1558
1753619476.596,539,1557
1753619476.596,540,1556
1753619476.611,541,1554
1753619476.626,542,1553
1753619476.642,542,1552
1753619476.658,543,1552
1753619476.673,543,1551
1753619476.689,545,1551
1753619476.689,545,1550
1753619476.704,545,1549
1753619476.72,546,1548
1753619476.736,547,1546
1753619476.736,547,1545
1753619476.751,548,1545
1753619476.783,548,1544
1753619476.814,549,1544
1753619476.814,549,1543
1753619476.829,550,1543
1753619476.845,550,1542
1753619476.861,551,1542
1753619476.876,551,1541
1753619476.892,552,1541
1753619476.923,554,1541
1753619476.923,554,1540
